Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
Sierra Leone," 1,783 ", 66 ," 1,317 ", 400 , -   , -   , 4 , 4 , 74 , 5 ," 1,711 ", 72 ,4.21,Africa
Singapore," 50,838 ", 27 ," 45,692 "," 5,119 ", 469 , -   , 171 , 0 , 90 , 0 ," 48,035 "," 2,803 ",5.84,Western Pacific
Slovakia," 2,181 ", 28 ," 1,616 ", 537 , 2 , -   , 39 , 1 , 74 , 2 ," 1,980 ", 201 ,10.15,Europe
Slovenia," 2,087 ", 116 ," 1,733 ", 238 , 5 , -   , 55 , 6 , 83 , 7 ," 1,953 ", 134 ,6.86,Europe
Somalia," 3,196 ", 93 ," 1,543 "," 1,560 ", 18 , -   , 22 , 3 , 48 , 6 ," 3,130 ", 66 ,2.11,Eastern Mediterranean
South Africa," 452,529 "," 7,067 "," 274,925 "," 170,537 "," 7,096 ", 298 ," 9,848 ", 2 , 61 , 3 ," 373,628 "," 78,901 ",21.12,Africa
South Korea," 14,203 ", 300 ," 13,007 ", 896 , 28 , 1 , 102 , 2 , 92 , 2 ," 13,816 ", 387 ,2.8,Western Pacific
South Sudan," 2,305 ", 46 ," 1,175 "," 1,084 ", 43 , 1 , -   , 2 , 51 , 4 ," 2,211 ", 94 ,4.25,Africa
Spain," 272,421 "," 28,432 "," 150,376 "," 93,613 ", -   , -   , -   , 10 , 55 , 19 ," 264,836 "," 7,585 ",2.86,Europe
Sri Lanka," 2,805 ", 11 ," 2,121 ", 673 , 23 , -   , 15 , 0 , 76 , 1 ," 2,730 ", 75 ,2.75,South-East Asia
Sudan," 11,424 ", 720 ," 5,939 "," 4,765 ", 39 , 3 , 49 , 6 , 52 , 12 ," 10,992 ", 432 ,3.93,Eastern Mediterranean
Suriname," 1,483 ", 24 , 925 , 534 , 44 , 1 , 35 , 2 , 62 , 3 ," 1,079 ", 404 ,37.44,Americas
Sweden," 79,395 "," 5,700 ", -   ," 73,695 ", 398 , 3 , -   , 7 , -   , inf ," 78,048 "," 1,347 ",1.73,Europe
Switzerland," 34,477 "," 1,978 "," 30,900 "," 1,599 ", 65 , 1 , 200 , 6 , 90 , 6 ," 33,634 ", 843 ,2.51,Europe
Syria, 674 , 40 , -   , 634 , 24 , 2 , -   , 6 , -   , inf , 522 , 152 ,29.12,Eastern Mediterranean
Taiwan*, 462 , 7 , 440 , 15 , 4 , -   , -   , 2 , 95 , 2 , 451 , 11 ,2.44,Western Pacific
